Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,Gate length (ns),CZ error,RZZ error,MEASURE error,Operational
0,51.26090562,44.17282413,0.01184082,0.022216797,0.001464844,1560,0.001217513,24,0.001217513,0,0.001217513,0.001217513,0.088888889,01:00.0,01:00.0,0.01184082,Yes
1,195.0899496,225.848308,0.019897461,0.024658203,0.015136719,1560,0.000278757,24,0.000278757,0,0.000278757,0.000278757,2:68;0:68,2:0.001856177707145884;0:0.006462216021433709,2:0.0020258088877946057;0:0.006977377349868863,0.019897461,Yes
2,184.4027523,139.7718908,0.006347656,0.004150391,0.008544922,1560,0.000166916,24,0.000166916,0,0.000166916,0.000166916,1:68;3:68,1:0.001856177707145884;3:0.0018930092921903285,1:0.0020258088877946057;3:0.0020065114327468547,0.006347656,Yes
3,204.2978237,199.0049622,0.025390625,0.021972656,0.028808594,1560,0.000194646,24,0.000194646,0,0.000194646,0.000194646,16:68;2:68;4:68,16:0.0037015562068650476;2:0.0018930092921903285;4:0.001810904897047827,16:0.003014545754156245;2:0.0020065114327468547;4:0.0024430408089358147,0.025390625,Yes
4,178.8150991,102.7111401,0.003295898,0.005126953,0.001464844,1560,0.000204519,24,0.000204519,0,0.000204519,0.000204519,3:68;5:68,3:0.001810904897047827;5:0.0024230073035045874,3:0.0024430408089358147;5:0.0023311687239105094,0.003295898,Yes
5,146.7707984,137.9348414,0.006225586,0.008300781,0.004150391,1560,0.000215215,24,0.000215215,0,0.000215215,0.000215215,6:68;4:68,6:0.009535462817433643;4:0.0024230073035045874,6:0.0083479812649776;4:0.0023311687239105094,0.006225586,Yes
6,108.1310629,101.0057657,0.005737305,0.006103516,0.005371094,1560,0.000252554,24,0.000252554,0,0.000252554,0.000252554,5:68;7:68,5:0.009535462817433643;7:0.0026315520593711006,5:0.0083479812649776;7:0.002687139515269138,0.005737305,Yes
7,130.1351376,40.87406203,0.028198242,0.038085938,0.018310547,1560,0.000459277,24,0.000459277,0,0.000459277,0.000459277,17:68;6:68;8:68,17:0.0026111664253522515;6:0.0026315520593711006;8:0.002670775304932843,17:0.002979413776563661;6:0.002687139515269138;8:0.002535267160239718,0.028198242,Yes
8,144.5928505,52.05127517,0.006958008,0.009277344,0.004638672,1560,0.00035009,24,0.00035009,0,0.00035009,0.00035009,9:68;7:68,9:0.001735405063570561;7:0.002670775304932843,9:0.0020251174024519536;7:0.002535267160239718,0.006958008,Yes
9,145.6128458,29.05867111,0.009399414,0.010253906,0.008544922,1560,0.000254916,24,0.000254916,0,0.000254916,0.000254916,8:68;10:68,8:0.001735405063570561;10:0.0020437322291233795,8:0.0020251174024519536;10:0.0020172846491290086,0.009399414,Yes
